Latitude,Longitude,MAC
43.13644601,-70.93352644,b4:5d:50:e5:03:52
43.13644601,-70.93352644,b4:5d:50:e5:03:50
43.13644601,-70.93352644,b4:5d:50:e5:03:51
43.136491930000005,-70.93366682,b4:5d:50:e4:f5:71
43.13647769,-70.93361981,b4:5d:50:e4:f4:21
43.13652361,-70.93376019,b4:5d:50:e4:f5:72
43.13652361,-70.93376019,b4:5d:50:e4:f5:70
43.13650937,-70.93371318,84:d4:7e:76:1d:f0
43.13652361,-70.93376019,b4:5d:50:e4:af:12
43.13652361,-70.93376019,b4:5d:50:e4:af:10
43.13650937,-70.93371318,b4:5d:50:e3:3a:52
43.13650937,-70.93371318,b4:5d:50:e4:f5:62
43.13650937,-70.93371318,b4:5d:50:e3:11:c2
43.13650937,-70.93371318,b4:5d:50:e3:3a:42
43.13650937,-70.93371318,b4:5d:50:e3:3a:40
43.13650937,-70.93371318,b4:5d:50:e4:f4:20
43.137032135,-70.933687185,60:33:4b:e8:3d:3c
43.13650937,-70.93371318,84:d4:7e:76:21:20
43.13650937,-70.93371318,84:d4:7e:76:21:22
43.13650937,-70.93371318,b4:5d:50:e4:f4:22
43.137032135,-70.933687185,60:33:4b:e8:3d:3b
43.13652361,-70.93376019,b4:5d:50:e4:af:11
43.13650937,-70.93371318,84:d4:7e:76:1d:f1
43.13650937,-70.93371318,b4:5d:50:e3:3a:41
43.13650937,-70.93371318,84:d4:7e:76:21:21
43.13650937,-70.93371318,b4:5d:50:d9:99:a1
43.136523405,-70.93375933,b4:5d:50:e4:af:01
43.13650937,-70.93371318,84:d4:7e:73:06:a1
43.136535915,-70.93379153000001,b4:5d:50:e4:86:12
43.13653398,-70.93377586,84:d4:7e:76:21:30
43.136535915,-70.93379153000001,b4:5d:50:e4:86:11
43.13653398,-70.93377586,84:d4:7e:76:21:31
43.136537634999996,-70.93380709499999,b4:5d:50:e4:f3:92
43.13653774000001,-70.93380673249999,b4:5d:50:e4:f3:90
43.136537645000004,-70.93380631999999,b4:5d:50:e4:f3:82
43.13653784,-70.93380795499999,b4:5d:50:e4:86:10
43.13653770333334,-70.93380657666665,b4:5d:50:e4:f3:91
43.13653766,-70.933806375,b4:5d:50:e4:ab:90
43.13653766,-70.933806375,b4:5d:50:e4:ab:92
43.13653748666667,-70.93380645666667,b4:5d:50:e4:aa:d2
43.13653766,-70.933806375,b4:5d:50:d1:78:32
